run_name,lr,batch_size,base_filters,accuracy,precision,recall,f1,roc_auc
default_run,0.001,32,16,0.911252,0.558824,0.838235,0.670588,0.940106
run_lr1em03_bs16_bf16,0.001,16,16,0.963550,0.835821,0.823529,0.829630,0.951076
run_lr1em03_bs16_bf32,0.001,16,32,0.952456,0.763889,0.808824,0.785714,0.958834
run_lr1em03_bs32_bf16,0.001,32,16,0.942948,0.710526,0.794118,0.750000,0.946113
run_lr1em03_bs32_bf32,0.001,32,32,0.900158,0.521008,0.911765,0.663102,0.965442
run_lr1em03_bs64_bf16,0.001,64,16,0.947702,0.716049,0.852941,0.778523,0.969700
run_lr1em03_bs64_bf32,0.001,64,32,0.938193,0.670588,0.838235,0.745098,0.949587
run_lr5em04_bs16_bf16,0.0005,16,16,0.928685,0.629213,0.823529,0.713376,0.962830
run_lr5em04_bs16_bf32,0.0005,16,32,0.935024,0.642105,0.897059,0.748466,0.967454
run_lr5em04_bs32_bf16,0.0005,32,16,0.955626,0.803030,0.779412,0.791045,0.959800
run_lr5em04_bs32_bf32,0.0005,32,32,0.936609,0.645833,0.911765,0.756098,0.976309
run_lr5em04_bs64_bf16,0.0005,64,16,0.876387,0.460938,0.867647,0.602041,0.944337
run_lr5em04_bs64_bf32,0.0005,64,32,0.971474,0.878788,0.852941,0.865672,0.970301
